sleep_hours,phone_usage_hours,study_hours_per_day,productivity_score
3.63,3.38,4.35,33.78
6.58,5.48,6.14,48.99
3.26,4.83,4.98,36.6
4.58,10.06,3.19,19.87
6.21,3.02,7.67,52.9
3.52,4.02,7.18,47.31
6.36,11.45,9.06,41.23
4.86,3.31,6.37,53.81
4.87,9.66,4.19,25.99
9.56,2.13,7.28,73.18
7.83,7.25,6.38,55.34
9.51,1.56,6.36,77.35
7.03,5.21,8.57,78.35
9.35,11.49,9.15,76.03
8.86,7.89,2.21,47.86
9.98,2.89,3.48,67.31
6.52,9.8,6.68,59.99
7.87,8.03,5.79,49.36
4.12,11.17,6.7,42.69
9.58,3.13,4.61,47.04
5.79,1.89,4.42,52.6
9.42,7.8,1.62,32.6
3.7,11.01,6.42,35.45
6.61,9.44,2.17,27.4
3.01,5.23,6.87,40.96
5.91,5.46,9.69,68.64
3.58,4.32,2.94,43.84
6.14,11.05,1.85,33.48
6.89,9.83,0.73,14.94
8.97,3.58,4.1,62.43
5.07,4.19,2.54,29.18
6.97,9.01,5.17,32.14
3.47,5.38,5.48,39.03
9.39,7.51,3.82,54.18
6.16,2.29,7.62,52.21
4.77,10.01,9.1,53.17
6.24,6.9,2.51,43.35
6.37,10.0,8.44,59.01
8.2,8.72,1.75,26.24
9.82,5.43,2.67,42.64
4.3,8.33,5.83,33.27
3.38,1.19,3.41,35.68
7.59,5.52,0.9,35.67
9.19,5.51,3.3,38.65
6.96,5.34,9.1,74.5
3.56,1.85,2.16,43.79
5.95,6.1,7.76,54.75
7.58,9.26,7.36,58.29
5.3,4.21,1.51,45.33
8.91,9.91,3.63,55.92
4.57,7.23,2.3,21.43
5.55,8.83,0.72,17.71
9.42,10.82,2.14,36.04
7.01,6.05,2.41,31.11
3.04,10.22,2.08,19.22
4.71,2.11,1.37,29.34
8.27,9.45,5.5,64.12
3.36,10.09,3.57,33.96
9.95,10.89,9.13,55.79
9.29,1.43,2.28,49.32
4.57,1.85,6.23,71.05
9.27,0.76,9.06,99.9
7.9,6.32,0.95,38.16
5.98,2.72,5.4,54.77
4.37,7.03,4.78,46.46
4.4,10.76,9.32,59.32
7.16,4.26,6.81,51.14
5.91,0.56,3.82,38.85
7.17,10.73,7.26,51.57
5.31,7.65,6.04,60.03
4.61,2.82,3.8,33.07
8.86,8.46,7.96,59.44
9.44,7.78,6.85,52.53
7.94,4.87,0.55,34.07
4.13,2.94,8.72,70.89
3.65,11.91,4.27,31.49
6.77,7.89,6.63,53.44
6.85,0.52,4.27,65.22
7.47,1.94,8.87,70.49
9.34,3.35,6.68,76.09
7.53,9.85,6.0,52.74
9.41,5.96,9.81,89.91
3.82,1.19,3.17,34.07
7.96,3.55,1.12,30.86
9.49,11.78,5.4,34.47
6.24,9.33,4.53,24.44
9.77,0.55,4.82,68.65
6.87,10.15,6.39,46.0
9.6,2.71,6.34,54.53
8.24,4.3,4.23,60.05
6.2,1.86,8.7,81.19
3.24,0.62,6.69,43.55
7.6,6.3,8.95,61.03
4.78,3.79,9.17,72.59
5.02,4.64,2.09,37.03
3.14,2.44,6.97,38.29
6.9,9.77,3.52,39.5
5.03,2.5,8.45,76.0
9.88,6.45,7.46,66.13
